Price;ft2;Location;No. of Bedrooms
18500000;2000;Sector 6 Dwarka;3
15300000;1800;Sector 6 Dwarka;3
15500000;1800;Sector 6 Dwarka;3
16200000;2000;Sector 6 Dwarka;3
15000000;1900;Sector 6 Dwarka;3
16000000;1900;Sector 6 Dwarka;3
15500000;1800;Sector 2 Dwarka;3
15000000;1800;Sector 6 Dwarka;3
14800000;1900;Sector 3 Dwarka;3
15800000;1800;Sector 3 Dwarka;3
15500000;1800;Sector 3 Dwarka;3
15000000;1800;Sector 3 Dwarka;3
14500000;1800;Sector 3 Dwarka;3
21000000;2200;Sector 2 Dwarka;3
16000000;1800;Sector 2 Dwarka;3
16500000;2000;Sector 2 Dwarka;3
16500000;1800;Sector 4 Dwarka;3
18500000;1800;Sector 4 Dwarka;3
16500000;1800;Dwarka Mor;3
19000000;2000;Sector 7 Dwarka;3
15000000;1800;Sector 4 Dwarka;3
14000000;1600;Sector 4 Dwarka;3
14500000;1800;Sector 4 Dwarka;3
16500000;1800;Sector 4 Dwarka;3
15500000;1600;Sector 24 Rohini;4
3600000;500;Sector 24 Rohini;2
6200000;800;Sector 24 Rohini;3
12000000;1550;Sector 4 Dwarka;3
5400000;1125;Burari;3
3300000;675;Burari;2
16500000;2200;Sector 19 Dwarka;4
6500000;700;Saidabad;2
4500000;900;Burari;3
2400000;600;Burari;2
2400000;600;Burari;2
2500000;540;Burari;2
2800000;650;Burari;2
3200000;750;Burari;2
3200000;750;Burari;2
3300000;675;Burari;2
3200000;675;Burari;2
3200000;675;Burari;2
2000000;450;Dwarka Mor;2
5400000;950;Burari;3
5500000;950;Burari;3
5500000;900;Burari;3
3200000;630;Burari;2
3200000;630;Burari;2
4100000;810;Burari;3
3100000;675;Burari;2
2100000;540;Burari;2
4200000;1000;Burari;3
4200000;810;Burari;3
5400000;1125;Burari;3
3000000;675;Burari;2
5600000;1170;Burari;3
2900000;630;Burari;2
2500000;570;Burari;2
3500000;765;Burari;2
3100000;630;Burari;2
3200000;638;Burari;2
3100000;638;Burari;2
3600000;750;Burari;2
3600000;750;Burari;2
3300000;675;Burari;2
3100000;750;Burari;2
3000000;550;Burari;2
5700000;1170;Burari;3
5900000;1170;Burari;3
5800000;1170;Burari;3
2200000;650;Burari;2
3200000;750;Burari;2
3700000;900;Burari;3
2800000;630;Burari;2
2800000;630;Burari;2
2300000;540;Burari;2
2600000;540;Burari;2
2800000;720;Burari;2
3400000;765;Burari;2
3400000;765;Burari;2
4700000;990;Burari;3
4500000;900;Burari;3
4500000;900;Burari;2
4500000;900;Burari;3
4400000;954;Burari;3
2800000;630;Burari;2
2800000;630;Burari;2
2800000;630;Burari;2
2800000;630;Burari;2
2800000;630;Burari;2
3200000;675;Burari;2
4500000;900;Burari;3
4500000;900;Burari;3
4500000;900;Burari;3
4500000;900;Burari;3
3400000;774;Burari;2
2850000;630;Burari;2
2900000;540;Burari;2
3100000;385;Sector 23 Dwarka;1
2700000;385;Sector 23 Dwarka;1
2200000;385;Sector 23 Dwarka;1
3100000;385;Sector 23 Dwarka;1
2400000;385;Sector 23 Dwarka;1
3400000;400;Sector 23 Dwarka;1
2000000;495;Burari;2
2600000;540;Burari;2
3600000;738;Burari;3
4300000;900;Burari;3
3600000;810;Burari;3
3600000;810;Burari;3
2900000;630;Burari;2
